learning_rate,n_estimators,max_depth,F1
0.4694,59,10,0.802
0.2071,99,5,0.802
0.9086,26,5,0.804
0.7414,26.0,6.006912923706906,0.807
0.8394,25.077631195221183,5.508802686061183,0.797
0.0,25.674768260180603,5.355635151592041,0.619
0.4929,25.07039012867431,6.577367020267394,0.807
1.0,25.79586318112961,7.120191657729099,0.799
0.0,25.998113401746863,6.912140083166735,0.619
0.5878,24.971149485347205,7.735279421538243,0.802
1.0,24.271195744463288,7.016573637630389,0.799
0.0,24.193176103509945,7.200608089803565,0.619
0.6088,23.96110630236027,5.949679868459037,0.804
0.0,24.314758111390674,5.08980829220583,0.619
1.0,27.026785384786198,5.59744598861177,0.802
1.0,26.98222634924852,6.7339156206898245,0.812
0.0706,27.09076640584553,6.062492648529753,0.811
0.1386,26.92498506704301,5.0,0.809
0.4545,28.03006240410012,5.629439966230814,0.807
0.4777,27.98984238264921,6.748197722206242,0.807
0.3782,27.086650572585338,7.670283848245551,0.802
0.9113,26.159248764070178,8.221629647497313,0.786
0.0,25.915038845724126,8.19131546068996,0.619
1.0,27.87141301700257,7.789735128067103,0.802
0.9126,27.227289621899455,8.735361714498083,0.804
1.0,26.916740872645672,7.81094156965679,0.802
0.0202,27.984524641541356,8.361256367877695,0.816
0.0,27.021654624801446,8.91013100054208,0.619
0.0,28.71674430096955,7.49318661486585,0.619
0.8762,28.46203356521665,8.839359120094375,0.794
0.2911,28.046445415610727,9.601122083270935,0.804
0.0,28.989173275097603,9.052083018263861,0.619
1.0,28.853852328430147,6.3967830646188855,0.810
1.0,29.116222469134122,7.646758144586791,0.802
0.0,29.00909259562603,6.087965105141645,0.619
0.7608,29.91657061084848,6.86006978609639,0.809
0.4573,30.064515225589588,7.980561933531555,0.804
1.0,29.718301708539915,8.8008497498602,0.797
1.0,28.957868080553066,9.93291152631845,0.807
1.0,27.591022968233844,10.075320063554903,0.799
1.0,30.814173888345923,7.593290797466049,0.807
1.0,30.876863890678845,8.749623586198982,0.802
0.5376,30.22532645549614,9.735848074412612,0.809
0.0,30.684043689492945,8.84427546947086,0.619
0.3567,28.48061558322375,10.729765125917224,0.809
0.0,29.44441851175007,10.374323323469593,0.619
0.0,27.365475149675284,10.57097148908222,0.619
1.0,26.313818307152065,9.61198159491638,0.799
1.0,25.170044067424318,8.961287642482922,0.799
1.0,24.083696119837175,8.330755103235667,0.797
0.107,25.52557171536049,9.611051091708845,0.814
0.9906,25.224168296749117,10.20375392866854,0.807
0.3054,24.359947858129978,9.366902055135245,0.807
