-4.10	0.14
-4.57	0.14
-2.23	0.12
-6.18	0.21
1.32	0.24
-6.14	0.26
-5.67	0.25
-4.70	0.17
-5.52	0.22
-0.93	0.19
-6.04	0.13
-5.11	0.10
-7.00	0.08
-7.14	0.35
-3.37	0.10
-6.90	0.15
-5.04	0.15
-5.76	0.21
-7.29	0.22
-3.71	0.23
-4.23	0.18
-6.77	0.19
-5.84	0.25
-3.96	0.19
-7.52	0.17
-7.43	0.19
-5.96	0.24
-5.91	0.18
-5.33	0.21
-5.07	0.18
-5.71	0.17
-4.60	0.17
-4.39	0.13
-5.21	0.11
-3.89	0.12
-3.52	0.13
-4.88	0.16
-5.04	0.14
-4.73	0.13
-4.85	0.14
-5.70	0.14
-4.92	0.13
-5.49	0.14
-6.97	0.12
-4.58	0.16
-3.98	0.15
-5.14	0.16
-5.60	0.12
-7.63	0.16
-6.02	0.15
-6.46	0.15
-5.37	0.16
-4.92	0.14
-5.90	0.15
-6.76	0.16
-6.15	0.16
-6.59	0.20
-5.17	0.16
-6.13	0.16
-6.66	0.17
-5.30	0.15
-7.19	0.16
-6.70	0.19
-5.78	0.19
-6.18	0.17
-7.96	0.15
-5.17	0.14
-7.77	0.18
-4.48	0.18
-7.01	0.15
-3.08	0.24
-4.93	0.20
-3.11	0.24
-5.47	0.23
-8.21	0.19
-8.39	0.18
-2.32	0.24
-4.91	0.22
-6.12	0.12
1.89	0.20
13.36	0.18
12.49	0.18
3.64	0.21
3.64	0.24
3.68	0.18
3.99	0.20
-0.96	0.21
5.94	0.22
-2.55	0.18
-1.90	0.20
-1.88	0.22
20.38	0.13
10.25	0.16
20.88	0.17
13.05	0.24
12.57	0.29
12.17	0.88
13.14	0.78
18.49	0.24
14.82	0.28
5.19	0.23
5.12	0.20
11.00	0.21
10.94	0.28
5.01	0.22
-5.13 	0.13 
-4.95 	0.15 
-1.49 	0.32 
-4.83 	0.17 
-5.34 	0.19 
5.32 	0.46 
6.17 	0.35 
12.37 	0.27 
